datetime,open,high,low,close,volume
2020-09-14 07:00:00,3.2002,4.91,3.2002,3.3666,426044.0
2020-09-14 08:00:00,3.3663,3.565,3.3,3.3298,754888.0
2020-09-14 09:00:00,3.3298,3.3567,3.2161,3.2755,361947.0
2020-09-14 10:00:00,3.2753,3.3873,3.25,3.3673,317777.0
2020-09-14 11:00:00,3.3686,3.46,3.32,3.3799,301402.0
2020-09-14 12:00:00,3.3748,3.49,3.3607,3.4677,219601.0
2020-09-14 13:00:00,3.4687,3.4898,3.377,3.4485,293807.0
2020-09-14 14:00:00,3.4501,3.4866,3.3026,3.3452,290974.0
2020-09-14 15:00:00,3.3452,3.4145,3.3301,3.3795,234340.0
2020-09-14 16:00:00,3.3803,3.4228,3.3431,3.3653,198375.0
2020-09-14 17:00:00,3.3648,3.3795,3.3056,3.3249,186089.0
2020-09-14 18:00:00,3.3247,3.3463,3.25,3.2824,202412.0
2020-09-14 19:00:00,3.2878,3.36,3.2224,3.3009,290472.0
2020-09-14 20:00:00,3.3012,3.3471,3.24,3.2522,193821.0
2020-09-14 21:00:00,3.2505,3.2847,3.244,3.2695,171710.0
2020-09-14 22:00:00,3.2694,3.3009,3.2555,3.2718,176172.0
2020-09-14 23:00:00,3.2718,3.3,3.2526,3.2661,168340.0
2020-09-15 00:00:00,3.2629,3.2965,3.244,3.2662,129941.0
2020-09-15 01:00:00,3.2668,3.3096,3.2566,3.2727,156221.0
2020-09-15 02:00:00,3.2726,3.3258,3.2577,3.296,171676.0
2020-09-15 03:00:00,3.2953,3.3035,3.2446,3.255,174153.0
2020-09-15 04:00:00,3.2563,3.2758,3.2444,3.2555,155386.0
2020-09-15 05:00:00,3.2555,3.271,3.2306,3.2572,173380.0
2020-09-15 06:00:00,3.2577,3.2577,3.1993,3.2337,173126.0
2020-09-15 07:00:00,3.2336,3.2527,3.1449,3.1807,223933.0
2020-09-15 08:00:00,3.1807,3.1911,3.125,3.1532,184093.0
2020-09-15 09:00:00,3.152,3.2376,3.126,3.221,183983.0
2020-09-15 10:00:00,3.2208,3.2468,3.1726,3.2386,163643.0
2020-09-15 11:00:00,3.2381,3.2398,3.1828,3.2371,160421.0
2020-09-15 12:00:00,3.2385,3.3149,3.2356,3.2914,206596.0
2020-09-15 13:00:00,3.2914,3.306,3.1969,3.2176,171355.0
2020-09-15 14:00:00,3.2186,3.23,2.96,3.0476,267500.0
2020-09-15 15:00:00,3.0474,3.1224,3.0237,3.0758,216968.0
2020-09-15 16:00:00,3.0761,3.1177,3.0597,3.1007,163662.0
2020-09-15 17:00:00,3.1007,3.1126,3.0666,3.1006,155553.0
2020-09-15 18:00:00,3.0999,3.1063,3.0456,3.0683,153994.0
2020-09-15 19:00:00,3.0691,3.0731,3.019,3.0389,165934.0
2020-09-15 20:00:00,3.0383,3.1192,3.021,3.0363,181120.0
2020-09-15 21:00:00,3.0356,3.0431,3.0035,3.0234,164894.0
2020-09-15 22:00:00,3.0233,3.0376,2.9523,2.9815,231347.0
2020-09-15 23:00:00,2.9808,2.9935,2.9001,2.9332,189426.0
2020-09-16 00:00:00,2.9299,2.9299,2.5011,2.5585,401330.0
2020-09-16 01:00:00,2.5573,2.7556,2.5573,2.7444,253687.0
2020-09-16 02:00:00,2.7442,2.7642,2.67,2.753,179451.0
2020-09-16 03:00:00,2.7548,2.7752,2.6677,2.6918,187005.0
2020-09-16 04:00:00,2.6915,2.7165,2.665,2.6805,174532.0
2020-09-16 05:00:00,2.6841,2.7615,2.645,2.65,206734.0
2020-09-16 06:00:00,2.65,2.718,2.6106,2.7096,228660.0
2020-09-16 07:00:00,2.7104,2.7527,2.6441,2.737,245350.0
2020-09-16 08:00:00,2.7431,2.7507,2.642,2.6738,220758.0
2020-09-16 09:00:00,2.6707,2.7146,2.6338,2.6666,193406.0
2020-09-16 10:00:00,2.6703,2.682,2.5627,2.5627,222096.0
2020-09-16 11:00:00,2.5627,2.6378,2.5102,2.587,298291.0
2020-09-16 12:00:00,2.5811,2.6186,2.5616,2.572,240989.0
2020-09-16 13:00:00,2.5723,2.5832,2.5414,2.5564,227938.0
2020-09-16 14:00:00,2.5525,2.5759,2.4316,2.455,344705.0
2020-09-16 15:00:00,2.455,2.5802,2.453,2.5341,388781.0
2020-09-16 16:00:00,2.5362,2.6654,2.5347,2.608,280157.0
2020-09-16 17:00:00,2.6089,2.6211,2.5094,2.5308,204872.0
2020-09-16 18:00:00,2.5312,2.5828,2.4901,2.5383,226080.0
2020-09-16 19:00:00,2.5381,2.5466,2.5101,2.5302,189846.0
2020-09-16 20:00:00,2.5239,2.5662,2.5115,2.5405,188322.0
2020-09-16 21:00:00,2.5411,2.5642,2.5285,2.553,177059.0
2020-09-16 22:00:00,2.5529,2.5655,2.5372,2.5468,181670.0
2020-09-16 23:00:00,2.5472,2.5739,2.4844,2.5395,236409.0
2020-09-17 00:00:00,2.54,2.6218,2.5134,2.6168,269546.0
2020-09-17 01:00:00,2.6114,2.7,2.605,2.625,292146.0
2020-09-17 02:00:00,2.6255,2.6345,2.5573,2.5818,212480.0
2020-09-17 03:00:00,2.5818,2.6231,2.4696,2.4836,281860.0
2020-09-17 04:00:00,2.4836,2.5195,2.4677,2.5027,225453.0
2020-09-17 05:00:00,2.5031,2.587,2.4983,2.5663,215171.0
2020-09-17 06:00:00,2.5666,2.6025,2.4974,2.5052,245407.0
2020-09-17 07:00:00,2.5052,2.5396,2.4933,2.5296,193595.0
2020-09-17 08:00:00,2.5296,2.5794,2.45,2.4533,271282.0
2020-09-17 09:00:00,2.452,2.5053,2.3912,2.4895,345682.0
2020-09-17 10:00:00,2.4895,2.5461,2.3569,2.4861,419270.0
2020-09-17 11:00:00,2.4874,2.553,2.4725,2.5396,210357.0
2020-09-17 12:00:00,2.5395,2.5601,2.5056,2.5246,199231.0
2020-09-17 13:00:00,2.5247,2.6855,2.5209,2.5694,488445.0
2020-09-17 14:00:00,2.5694,2.62,2.5342,2.5765,260158.0
2020-09-17 15:00:00,2.5741,2.63,2.5741,2.6094,215092.0
2020-09-17 16:00:00,2.61,2.6806,2.6004,2.6642,255685.0
2020-09-17 17:00:00,2.6636,2.7728,2.6458,2.724,319273.0
